Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	cellular calcium ion homeostasis (GO:0006874)	1/136	2.179616e-01	2.591322e-01	0	0	4.196614e+00	6.393274e+00	CDH5
GO_Biological_Process_2021	positive regulation of response to external stimulus (GO:0032103)	1/139	2.222061e-01	2.627188e-01	0	0	4.104762e+00	6.174178e+00	THBD
GO_Biological_Process_2021	potassium ion transmembrane transport (GO:0071805)	1/139	2.222061e-01	2.627188e-01	0	0	4.104762e+00	6.174178e+00	KCNJ8
GO_Biological_Process_2021	transcription initiation from RNA polymerase II promoter (GO:0006367)	1/140	2.236159e-01	2.629330e-01	0	0	4.075026e+00	6.103678e+00	NR4A2
GO_Biological_Process_2021	protein localization to cell periphery (GO:1990778)	1/140	2.236159e-01	2.629330e-01	0	0	4.075026e+00	6.103678e+00	EPB41L3
GO_Biological_Process_2021	positive regulation of cellular catabolic process (GO:0031331)	1/141	2.250232e-01	2.638628e-01	0	0	4.045714e+00	6.034392e+00	LRRK2
GO_Biological_Process_2021	protein localization to organelle (GO:0033365)	1/142	2.264281e-01	2.647847e-01	0	0	4.016819e+00	5.966293e+00	LRRK2
GO_Biological_Process_2021	receptor-mediated endocytosis (GO:0006898)	1/143	2.278305e-01	2.656987e-01	0	0	3.988330e+00	5.899352e+00	MARCO
GO_Biological_Process_2021	positive regulation of Wnt signaling pathway (GO:0030177)	1/153	2.417191e-01	2.811298e-01	0	0	3.724060e+00	5.288088e+00	LRRK2
GO_Biological_Process_2021	negative regulation of transcription, DNA-templated (GO:0045892)	3/948	2.424155e-01	2.811757e-01	0	0	1.829630e+00	2.592772e+00	NR4A2;FOSB;LRRFIP1
GO_Biological_Process_2021	peptidyl-serine phosphorylation (GO:0018105)	1/156	2.458381e-01	2.843748e-01	0	0	3.651429e+00	5.123255e+00	LRRK2
GO_Biological_Process_2021	cellular response to growth factor stimulus (GO:0071363)	1/158	2.485720e-01	2.867623e-01	0	0	3.604550e+00	5.017615e+00	APPL1
GO_Biological_Process_2021	regulation of neuron projection development (GO:0010975)	1/165	2.580650e-01	2.969135e-01	0	0	3.449477e+00	4.672468e+00	LRRK2
GO_Biological_Process_2021	DNA-templated transcription, initiation (GO:0006352)	1/168	2.620976e-01	3.007447e-01	0	0	3.386997e+00	4.535319e+00	NR4A2
GO_Biological_Process_2021	peptidyl-serine modification (GO:0018209)	1/169	2.634371e-01	3.014735e-01	0	0	3.366667e+00	4.490934e+00	LRRK2
GO_Biological_Process_2021	positive regulation of ERK1 and ERK2 cascade (GO:0070374)	1/172	2.674414e-01	3.052397e-01	0	0	3.307101e+00	4.361587e+00	MARCO
GO_Biological_Process_2021	cation transport (GO:0006812)	1/174	2.700991e-01	3.066377e-01	0	0	3.268538e+00	4.278407e+00	KCNJ8
GO_Biological_Process_2021	neuron differentiation (GO:0030182)	1/174	2.700991e-01	3.066377e-01	0	0	3.268538e+00	4.278407e+00	NR4A2
GO_Biological_Process_2021	mitochondrion organization (GO:0007005)	1/175	2.714244e-01	3.073271e-01	0	0	3.249589e+00	4.237697e+00	LRRK2
GO_Biological_Process_2021	regulation of immune response (GO:0050776)	1/179	2.767025e-01	3.124767e-01	0	0	3.175923e+00	4.080465e+00	APPL1
GO_Biological_Process_2021	positive regulation of cellular biosynthetic process (GO:0031328)	1/180	2.780162e-01	3.131340e-01	0	0	3.158021e+00	4.042507e+00	APPL1
GO_Biological_Process_2021	regulation of mitotic cell cycle phase transition (GO:1901990)	1/188	2.884425e-01	3.240247e-01	0	0	3.021696e+00	3.756752e+00	APPL1
GO_Biological_Process_2021	regulation of GTPase activity (GO:0043087)	1/189	2.897355e-01	3.246251e-01	0	0	3.005471e+00	3.723138e+00	LRRK2
GO_Biological_Process_2021	regulation of programmed cell death (GO:0043067)	1/194	2.961661e-01	3.309636e-01	0	0	2.926869e+00	3.561516e+00	LRRK2
GO_Biological_Process_2021	protein localization to membrane (GO:0072657)	1/195	2.974454e-01	3.315277e-01	0	0	2.911635e+00	3.530429e+00	EPB41L3
GO_Biological_Process_2021	negative regulation of intracellular signal transduction (GO:1902532)	1/198	3.012698e-01	3.349181e-01	0	0	2.866860e+00	3.439513e+00	DEPTOR
GO_Biological_Process_2021	endomembrane system organization (GO:0010256)	1/199	3.025400e-01	3.354589e-01	0	0	2.852237e+00	3.409968e+00	LRRK2
